case	kind	index	ah	av	lh	lv	rh	rv
src-key3+37	R	10	150	138.766666667	150	138.766666667	150	138.766666667
src-key3+37	R	11	100	140	100	140	100	140
src-key3+37	R	12	100	190	100	190	100	190
src-key3+37	R	13	150	187.225	150	187.225	150	187.225
src-key3+37	R	14	210	183.895	210	183.895	210	183.895
src-key3+37	R	15	260	181.12	260	181.12	260	181.12
src-key3+37	R	16	330	177.235	330	177.235	330	177.235
src-key3+37	R	17	400	173.35	400	173.35	400	173.35
src-key3+37	R	18	400	222.25	400	222.25	400	222.25
src-key3+37	R	19	330	228.725	330	228.725	330	228.725
src-key3+37	R	20	260	235.2	260	235.2	260	235.2
src-key3+37	R	21	210	239.825	210	239.825	210	239.825
src-key3+37	R	22	150	245.375	150	245.375	150	245.375
src-key3+37	R	23	100	250	100	250	100	250
src-key3+37	R	24	100	300	100	300	100	300
src-key3+37	R	25	150	293.833333333	150	293.833333333	150	293.833333333
src-key3+37	R	26	210	286.433333333	210	286.433333333	210	286.433333333
src-key3+37	R	27	260	280.266666667	260	280.266666667	260	280.266666667
src-key3+37	R	28	330	271.633333333	330	271.633333333	330	271.633333333
src-key3+37	R	29	400	263	400	263	400	263
src-key3-37	R	0	100	100	100	100	100	100
src-key3-37	R	1	150	100	150	100	150	100
src-key3-37	R	2	210	100	210	100	210	100
src-key3-37	R	3	260	100	260	100	260	100
src-key3-37	R	4	330	100	330	100	330	100
src-key3-37	R	5	400	100	400	100	400	100
src-key3-37	R	6	400	147.4	400	147.4	400	147.4
src-key3-37	R	7	330	145.673333333	330	145.673333333	330	145.673333333
src-key3-37	R	8	260	143.946666667	260	143.946666667	260	143.946666667
src-key3-37	R	9	210	142.713333333	210	142.713333333	210	142.713333333
src-key3-37	R	10	150	141.233333333	150	141.233333333	150	141.233333333
src-key3-37	R	11	100	140	100	140	100	140
src-key3-37	R	12	100	190	100	190	100	190
src-key3-37	R	13	150	192.775	150	192.775	150	192.775
src-key3-37	R	14	210	196.105	210	196.105	210	196.105
src-key3-37	R	15	260	198.88	260	198.88	260	198.88
src-key3-37	R	16	330	202.765	330	202.765	330	202.765
src-key3-37	R	17	400	206.65	400	206.65	400	206.65
src-key3-37	R	18	400	277.75	400	277.75	400	277.75
